"timestamp","page_group","geo_cc","geo_rg","geo_city","geo_org","geo_netspeed","user_agent_family","user_agent_major","user_agent_os","user_agent_osversion","user_agent_model","referrer","page_index","navigation_type","params_dom_sz","params_dom_ln","params_dom_script","params_dom_img","timers_t_done","timers_t_resp","timers_t_page","tcp_windows","nodes_1000","scripts_10","imgs_10","datetime","dt_year","dt_month","dt_week","dt_day","dt_hour","dt_6hour","dt_12hour","dt_minute","dt_5min","dt_15min","dt_20min","dt_30min"
1409608822122,"btstemplate","US","US:: FL","US:: FL:: Gulf Breeze","Mediacom Cable","Cable/DSL","Chrome","Chrome:: 37","Mac OS X","Mac OS X:: 10",NA,"www.staples.com","3rd-10th Page","navigation",419938,1881,107,36,3479,173,3306,"16 TCP Windows","2K Nodes","120 Scripts","40 Images","2014-09-01T22:00:22.122",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822127,"searchresults","US","US:: CA","US:: CA:: Sonoma","AT&T U-verse","Cable/DSL","IE","IE:: 8","Windows XP",NA,NA,NA,"3rd-10th Page","none",430254,3724,136,41,10422,1334,9088,"16 TCP Windows","4K Nodes","140 Scripts","60 Images","2014-09-01T22:00:22.127",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822140,"searchresults","US","US:: TX",NA,"AT&T Wireless","Cellular","Mobile Safari","Mobile Safari:: 7","iOS","iOS:: 7","iPhone","www.staples.com","2nd Page","none",751203,7208,137,31,8590,1416,7174,"32 TCP Windows","8K Nodes","140 Scripts","40 Images","2014-09-01T22:00:22.14",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822153,"class","US","US:: PA","US:: PA:: Philadelphia","Comcast Cable","Cable/DSL","Firefox","Firefox:: 31","Linux",NA,NA,"www.staples.com","11th+ Page","navigation",666222,4426,166,74,2927,1261,1666,"32 TCP Windows","5K Nodes","180 Scripts","80 Images","2014-09-01T22:00:22.153",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822205,"category","US","US:: CA","US:: CA:: Hemet","Verizon FiOS","Cable/DSL","IE","IE:: 9","Windows Vista",NA,NA,"www.bing.com","Entry Page","navigation",333531,1730,107,21,2568,364,2204,"16 TCP Windows","2K Nodes","120 Scripts","40 Images","2014-09-01T22:00:22.205",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822251,"searchresults","US","US:: NY","US:: NY:: Bronx","Optimum Online","Cable/DSL","Safari","Safari:: 7","Mac OS X","Mac OS X:: 10",NA,"www.staples.com","3rd-10th Page","cookie",551859,3759,152,32,2396,1356,1040,"32 TCP Windows","4K Nodes","160 Scripts","40 Images","2014-09-01T22:00:22.251",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822253,"searchresults","US","US:: WA","US:: WA:: Tacoma","CenturyLink","Cable/DSL","IE","IE:: 8","Windows XP",NA,NA,"www.staples.com","3rd-10th Page","cookie",387579,3277,136,32,14812,3953,10859,"16 TCP Windows","4K Nodes","140 Scripts","40 Images","2014-09-01T22:00:22.253",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822255,"dailydealstemplate","US","US:: MA","US:: MA:: Needham","Verizon FiOS","Cable/DSL","Safari","Safari:: 7","Mac OS X","Mac OS X:: 10",NA,NA,"11th+ Page","none",909235,4350,109,223,6955,1139,5816,"32 TCP Windows","5K Nodes","120 Scripts","240 Images","2014-09-01T22:00:22.255",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822259,"searchresults","US","US:: WA","US:: WA:: Greenacres","Ptera Wireless","Corporate","Firefox","Firefox:: 31","Windows 7",NA,NA,"www.staples.com","3rd-10th Page","navigation",529243,3338,150,32,5881,2382,3499,"32 TCP Windows","4K Nodes","160 Scripts","40 Images","2014-09-01T22:00:22.259",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822281,"class","US","US:: KY","US:: KY:: Covington","Fuse Internet Access","Cable/DSL","Safari","Safari:: 6","Mac OS X","Mac OS X:: 10",NA,"www.staples.com","3rd-10th Page","cookie",650558,4138,152,45,5888,4001,1887,"32 TCP Windows","5K Nodes","160 Scripts","60 Images","2014-09-01T22:00:22.281",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822290,"dailydealstemplate","US","US:: WY","US:: WY:: Casper","CenturyLink","Cable/DSL","IE","IE:: 11","Windows 8.1",NA,NA,"www.staples.com","11th+ Page","navigation",901958,4378,108,223,19992,501,19491,"32 TCP Windows","5K Nodes","120 Scripts","240 Images","2014-09-01T22:00:22.29",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822292,"outofstock","US","US:: ID","US:: ID:: Meridian","CenturyLink","Cable/DSL","Chrome","Chrome:: 36","Windows XP",NA,NA,"www.staples.com","11th+ Page","navigation",461760,2575,108,41,94453,329,94124,"16 TCP Windows","3K Nodes","120 Scripts","60 Images","2014-09-01T22:00:22.292",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822319,"searchresults","US","US:: OR","US:: OR:: Salem","Comcast Cable","Cable/DSL","IE","IE:: 10","Windows 8",NA,NA,"www.staples.com","11th+ Page","navigation",373936,2206,132,22,5741,929,4812,"16 TCP Windows","3K Nodes","140 Scripts","40 Images","2014-09-01T22:00:22.319",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822367,"skuskuset","US","US:: FL","US:: FL:: Delray Beach","Comcast Cable","Cable/DSL","Firefox","Firefox:: 31","Windows 7",NA,NA,"www.google.com","Entry Page","navigation",555091,3276,150,58,5254,580,4674,"32 TCP Windows","4K Nodes","160 Scripts","60 Images","2014-09-01T22:00:22.367",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822371,"searchresults","US","US:: FL","US:: FL:: Delray Beach","Office Depot","Corporate","IE","IE:: 9","Windows 7",NA,NA,"www.staples.com","3rd-10th Page","navigation",335020,1764,114,14,6768,1671,5097,"16 TCP Windows","2K Nodes","120 Scripts","20 Images","2014-09-01T22:00:22.371",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822447,"searchresults","US","US:: FL","US:: FL:: Delray Beach","Office Depot","Corporate","IE","IE:: 9","Windows 7",NA,NA,"www.staples.com","3rd-10th Page","navigation",338925,1852,115,13,5547,2226,3321,"16 TCP Windows","2K Nodes","120 Scripts","20 Images","2014-09-01T22:00:22.447",2014,9,36,1,22,18,12,0,0,0,0,0
1409608822457,"searchresults","US","US:: VA","US:: VA:: Centreville","Cox Communications","Cable/DSL","Chrome","Chrome:: 36","Windows 7",NA,NA,"www.staples.com","3rd-10th Page","navigation",518254,3124,147,34,7708,1548,6160,"32 TCP Windows","4K Nodes","160 Scripts","40 Images","2014-09-01T22:00:22.457",2014,9,36,1,22,18,12,0,0,0,0,0
